group_label,agent,model,runs,tasks,axis,value,label
judy / claude-opus-4.6@anthropic,judy,claude-opus-4.6@anthropic,445,89,verification_intensity,0.0,Verification
deepagent-harbor / gpt-5.2-codex@openai,deepagent-harbor,gpt-5.2-codex@openai,433,89,verification_intensity,0.3571,Verification
terminus-2 / claude-opus-4-6@anthropic,terminus-2,claude-opus-4-6@anthropic,445,89,verification_intensity,0.2896,Verification
claude-code / claude-opus-4-6@anthropic,claude-code,claude-opus-4-6@anthropic,445,89,verification_intensity,0.4989,Verification
terminus-2 / claude-opus-4-5-20251101@anthropic,terminus-2,claude-opus-4-5-20251101@anthropic,445,89,verification_intensity,0.4647,Verification
terminus-2 / gemini-3-pro-preview@gemini,terminus-2,gemini-3-pro-preview@gemini,445,89,verification_intensity,0.71,Verification
terminus-2 / gpt-5.2@openai,terminus-2,gpt-5.2@openai,444,89,verification_intensity,0.3149,Verification
terminus-2 / glm-5@z-ai,terminus-2,glm-5@z-ai,442,89,verification_intensity,0.4108,Verification
claude-code / claude-opus-4-5-20251101@anthropic,claude-code,claude-opus-4-5-20251101@anthropic,445,89,verification_intensity,0.6513,Verification
openhands / claude-opus-4-5-20251101@anthropic,openhands,claude-opus-4-5-20251101@anthropic,445,89,verification_intensity,0.3856,Verification
terminus-2 / gemini-3-flash-preview@gemini,terminus-2,gemini-3-flash-preview@gemini,445,89,verification_intensity,0.4717,Verification
codex / gpt-5@openai,codex,gpt-5@openai,439,89,verification_intensity,0.343,Verification
terminus-2 / gpt-5.1@openai,terminus-2,gpt-5.1@openai,445,89,verification_intensity,0.4279,Verification
codex / gpt-5-codex@openai,codex,gpt-5-codex@openai,436,89,verification_intensity,0.1998,Verification
terminus-2 / gpt-5-codex@openai,terminus-2,gpt-5-codex@openai,437,89,verification_intensity,0.4006,Verification
openhands / gpt-5@openai,openhands,gpt-5@openai,445,89,verification_intensity,0.2611,Verification
terminus-2 / claude-sonnet-4-5-20250929@anthropic,terminus-2,claude-sonnet-4-5-20250929@anthropic,440,89,verification_intensity,0.5077,Verification
mini-swe-agent / claude-sonnet-4-5-20250929@anthropic,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,442,89,verification_intensity,0.6323,Verification
openhands / claude-sonnet-4-5-20250929@anthropic,openhands,claude-sonnet-4-5-20250929@anthropic,443,89,verification_intensity,0.4467,Verification
terminus-2 / minimax-m2.5@Minimax,terminus-2,minimax-m2.5@Minimax,445,89,verification_intensity,0.4748,Verification
mini-swe-agent / gpt-5-codex@openai,mini-swe-agent,gpt-5-codex@openai,444,89,verification_intensity,0.4069,Verification
claude-code / claude-sonnet-4-5-20250929@anthropic,claude-code,claude-sonnet-4-5-20250929@anthropic,437,89,verification_intensity,0.6187,Verification
terminus-2 / deepseek-v3.2@deepseek,terminus-2,deepseek-v3.2@deepseek,445,89,verification_intensity,0.4185,Verification
terminus-2 / claude-opus-4-1-20250805@anthropic,terminus-2,claude-opus-4-1-20250805@anthropic,443,89,verification_intensity,0.5742,Verification
openhands / claude-opus-4-1-20250805@anthropic,openhands,claude-opus-4-1-20250805@anthropic,445,89,verification_intensity,0.5662,Verification
terminus-2 / gpt-5.1-codex@openai,terminus-2,gpt-5.1-codex@openai,445,89,verification_intensity,0.4355,Verification
claude-code / minimax-m2.1@minimax,claude-code,minimax-m2.1@minimax,445,89,verification_intensity,0.6359,Verification
terminus-2 / moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,892,89,verification_intensity,0.5489,Verification
terminus-2 / gpt-5@openai,terminus-2,gpt-5@openai,438,89,verification_intensity,0.3939,Verification
mini-swe-agent / claude-opus-4-1-20250805@anthropic,mini-swe-agent,claude-opus-4-1-20250805@anthropic,444,89,verification_intensity,0.7337,Verification
claude-code / claude-opus-4-1-20250805@anthropic,claude-code,claude-opus-4-1-20250805@anthropic,437,89,verification_intensity,0.457,Verification
mini-swe-agent / gpt-5@openai,mini-swe-agent,gpt-5@openai,445,89,verification_intensity,0.3282,Verification
terminus-2 / gemini-2.5-pro@gemini,terminus-2,gemini-2.5-pro@gemini,442,89,verification_intensity,0.7782,Verification
codex / gpt-5-mini@openai,codex,gpt-5-mini@openai,437,89,verification_intensity,0.3443,Verification
terminus-2 / accounts/fireworks/models/minimax-m2@fireworks_ai,terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,902,89,verification_intensity,0.465,Verification
mini-swe-agent / claude-haiku-4-5-20251001@anthropic,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,444,89,verification_intensity,0.5733,Verification
terminus-2 / minimax-m2.1@openai,terminus-2,minimax-m2.1@openai,438,89,verification_intensity,0.7977,Verification
openhands / gpt-5-mini@openai,openhands,gpt-5-mini@openai,445,89,verification_intensity,0.4339,Verification
terminus-2 / claude-haiku-4-5-20251001@anthropic,terminus-2,claude-haiku-4-5-20251001@anthropic,439,89,verification_intensity,0.7574,Verification
terminus-2 / moonshotai/Kimi-K2-Instruct-0905@together_ai,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,923,89,verification_intensity,0.6061,Verification
claude-code / claude-haiku-4-5-20251001@anthropic,claude-code,claude-haiku-4-5-20251001@anthropic,438,89,verification_intensity,0.79,Verification
openhands / grok-4-0709@xai,openhands,grok-4-0709@xai,444,89,verification_intensity,0.3286,Verification
openhands / moonshotai/Kimi-K2-Instruct-0905@together_ai,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,875,89,verification_intensity,0.6056,Verification
mini-swe-agent / gemini-2.5-pro@gemini,mini-swe-agent,gemini-2.5-pro@gemini,444,89,verification_intensity,0.7807,Verification
mini-swe-agent / grok-code-fast-1@xai,mini-swe-agent,grok-code-fast-1@xai,445,89,verification_intensity,0.6884,Verification
openhands / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,878,89,verification_intensity,0.5304,Verification
mini-swe-agent / grok-4-0709@xai,mini-swe-agent,grok-4-0709@xai,445,89,verification_intensity,0.579,Verification
terminus-2 / accounts/fireworks/models/glm-4p6@fireworks_ai,terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,904,89,verification_intensity,0.6932,Verification
terminus-2 / gpt-5-mini@openai,terminus-2,gpt-5-mini@openai,438,89,verification_intensity,0.3179,Verification
terminus-2 / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,929,89,verification_intensity,0.707,Verification
terminus-2 / grok-4-0709@xai,terminus-2,grok-4-0709@xai,436,89,verification_intensity,0.5602,Verification
mini-swe-agent / gpt-5-mini@openai,mini-swe-agent,gpt-5-mini@openai,445,89,verification_intensity,0.1972,Verification
gemini-cli / gemini-2.5-pro@gemini,gemini-cli,gemini-2.5-pro@gemini,437,89,verification_intensity,0.6847,Verification
terminus-2 / openai/gpt-oss-120b@together_ai,terminus-2,openai/gpt-oss-120b@together_ai,925,89,verification_intensity,0.9477,Verification
terminus-2 / gemini-2.5-flash@gemini,terminus-2,gemini-2.5-flash@gemini,439,89,verification_intensity,0.3484,Verification
mini-swe-agent / gemini-2.5-flash@gemini,mini-swe-agent,gemini-2.5-flash@gemini,445,89,verification_intensity,0.7758,Verification
openhands / gemini-2.5-flash@gemini,openhands,gemini-2.5-flash@gemini,445,89,verification_intensity,0.4177,Verification
openhands / gemini-2.5-pro@gemini,openhands,gemini-2.5-pro@gemini,445,89,verification_intensity,0.8344,Verification
gemini-cli / gemini-2.5-flash@gemini,gemini-cli,gemini-2.5-flash@gemini,439,89,verification_intensity,0.7588,Verification
mini-swe-agent / openai/gpt-oss-120b@together_ai,mini-swe-agent,openai/gpt-oss-120b@together_ai,887,89,verification_intensity,0.2993,Verification
terminus-2 / grok-code-fast-1@xai,terminus-2,grok-code-fast-1@xai,445,89,verification_intensity,1.0,Verification
openhands / claude-haiku-4-5-20251001@anthropic,openhands,claude-haiku-4-5-20251001@anthropic,444,89,verification_intensity,0.7948,Verification
codex / gpt-5-nano@openai,codex,gpt-5-nano@openai,440,89,verification_intensity,0.4413,Verification
openhands / gpt-5-nano@openai,openhands,gpt-5-nano@openai,444,89,verification_intensity,0.3182,Verification
terminus-2 / gpt-5-nano@openai,terminus-2,gpt-5-nano@openai,436,89,verification_intensity,0.3695,Verification
mini-swe-agent / gpt-5-nano@openai,mini-swe-agent,gpt-5-nano@openai,445,89,verification_intensity,0.2685,Verification
mini-swe-agent / openai/gpt-oss-20b@together_ai,mini-swe-agent,openai/gpt-oss-20b@together_ai,888,89,verification_intensity,0.0,Verification
terminus-2 / openai/gpt-oss-20b@together_ai,terminus-2,openai/gpt-oss-20b@together_ai,932,89,verification_intensity,0.6559,Verification
terminus-3-3 / claude-opus-4-6@anthropic,terminus-3-3,claude-opus-4-6@anthropic,442,89,recovery_churn,0.1839,Recovery Churn
terminus-3-3 / gemini-3.1-pro-preview@Google,terminus-3-3,gemini-3.1-pro-preview@Google,445,89,recovery_churn,0.2177,Recovery Churn
judy / claude-opus-4.6@anthropic,judy,claude-opus-4.6@anthropic,445,89,recovery_churn,0.4347,Recovery Churn
deepagent-harbor / gpt-5.2-codex@openai,deepagent-harbor,gpt-5.2-codex@openai,433,89,recovery_churn,0.1913,Recovery Churn
terminus-2 / claude-opus-4-6@anthropic,terminus-2,claude-opus-4-6@anthropic,445,89,recovery_churn,0.08,Recovery Churn
claude-code / claude-opus-4-6@anthropic,claude-code,claude-opus-4-6@anthropic,445,89,recovery_churn,0.1671,Recovery Churn
terminus-2 / claude-opus-4-5-20251101@anthropic,terminus-2,claude-opus-4-5-20251101@anthropic,445,89,recovery_churn,0.2112,Recovery Churn
terminus-2 / gemini-3-pro-preview@gemini,terminus-2,gemini-3-pro-preview@gemini,445,89,recovery_churn,0.1101,Recovery Churn
terminus-2 / gpt-5.2@openai,terminus-2,gpt-5.2@openai,444,89,recovery_churn,0.0,Recovery Churn
terminus-2 / glm-5@z-ai,terminus-2,glm-5@z-ai,442,89,recovery_churn,0.182,Recovery Churn
claude-code / claude-opus-4-5-20251101@anthropic,claude-code,claude-opus-4-5-20251101@anthropic,445,89,recovery_churn,0.2357,Recovery Churn
openhands / claude-opus-4-5-20251101@anthropic,openhands,claude-opus-4-5-20251101@anthropic,445,89,recovery_churn,0.3142,Recovery Churn
terminus-2 / gemini-3-flash-preview@gemini,terminus-2,gemini-3-flash-preview@gemini,445,89,recovery_churn,0.1951,Recovery Churn
codex / gpt-5@openai,codex,gpt-5@openai,439,89,recovery_churn,0.0658,Recovery Churn
terminus-2 / gpt-5.1@openai,terminus-2,gpt-5.1@openai,445,89,recovery_churn,0.0474,Recovery Churn
codex / gpt-5-codex@openai,codex,gpt-5-codex@openai,436,89,recovery_churn,0.0467,Recovery Churn
terminus-2 / gpt-5-codex@openai,terminus-2,gpt-5-codex@openai,437,89,recovery_churn,0.1686,Recovery Churn
openhands / gpt-5@openai,openhands,gpt-5@openai,445,89,recovery_churn,0.4154,Recovery Churn
terminus-2 / claude-sonnet-4-5-20250929@anthropic,terminus-2,claude-sonnet-4-5-20250929@anthropic,440,89,recovery_churn,0.2118,Recovery Churn
mini-swe-agent / claude-sonnet-4-5-20250929@anthropic,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,442,89,recovery_churn,0.1661,Recovery Churn
openhands / claude-sonnet-4-5-20250929@anthropic,openhands,claude-sonnet-4-5-20250929@anthropic,443,89,recovery_churn,0.7947,Recovery Churn
terminus-2 / minimax-m2.5@Minimax,terminus-2,minimax-m2.5@Minimax,445,89,recovery_churn,0.1493,Recovery Churn
mini-swe-agent / gpt-5-codex@openai,mini-swe-agent,gpt-5-codex@openai,444,89,recovery_churn,0.078,Recovery Churn
claude-code / claude-sonnet-4-5-20250929@anthropic,claude-code,claude-sonnet-4-5-20250929@anthropic,437,89,recovery_churn,0.2503,Recovery Churn
terminus-2 / deepseek-v3.2@deepseek,terminus-2,deepseek-v3.2@deepseek,445,89,recovery_churn,0.255,Recovery Churn
terminus-2 / claude-opus-4-1-20250805@anthropic,terminus-2,claude-opus-4-1-20250805@anthropic,443,89,recovery_churn,0.1984,Recovery Churn
openhands / claude-opus-4-1-20250805@anthropic,openhands,claude-opus-4-1-20250805@anthropic,445,89,recovery_churn,0.7468,Recovery Churn
terminus-2 / gpt-5.1-codex@openai,terminus-2,gpt-5.1-codex@openai,445,89,recovery_churn,0.1694,Recovery Churn
claude-code / minimax-m2.1@minimax,claude-code,minimax-m2.1@minimax,445,89,recovery_churn,0.2777,Recovery Churn
terminus-2 / moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,892,89,recovery_churn,0.4113,Recovery Churn
terminus-2 / gpt-5@openai,terminus-2,gpt-5@openai,438,89,recovery_churn,0.0482,Recovery Churn
mini-swe-agent / claude-opus-4-1-20250805@anthropic,mini-swe-agent,claude-opus-4-1-20250805@anthropic,444,89,recovery_churn,0.109,Recovery Churn
claude-code / claude-opus-4-1-20250805@anthropic,claude-code,claude-opus-4-1-20250805@anthropic,437,89,recovery_churn,0.2701,Recovery Churn
mini-swe-agent / gpt-5@openai,mini-swe-agent,gpt-5@openai,445,89,recovery_churn,0.0308,Recovery Churn
terminus-2 / gemini-2.5-pro@gemini,terminus-2,gemini-2.5-pro@gemini,442,89,recovery_churn,0.1761,Recovery Churn
codex / gpt-5-mini@openai,codex,gpt-5-mini@openai,437,89,recovery_churn,0.0532,Recovery Churn
terminus-2 / accounts/fireworks/models/minimax-m2@fireworks_ai,terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,902,89,recovery_churn,0.3387,Recovery Churn
mini-swe-agent / claude-haiku-4-5-20251001@anthropic,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,444,89,recovery_churn,0.2004,Recovery Churn
terminus-2 / minimax-m2.1@openai,terminus-2,minimax-m2.1@openai,438,89,recovery_churn,0.2558,Recovery Churn
openhands / gpt-5-mini@openai,openhands,gpt-5-mini@openai,445,89,recovery_churn,0.4857,Recovery Churn
terminus-2 / claude-haiku-4-5-20251001@anthropic,terminus-2,claude-haiku-4-5-20251001@anthropic,439,89,recovery_churn,0.2208,Recovery Churn
terminus-2 / moonshotai/Kimi-K2-Instruct-0905@together_ai,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,923,89,recovery_churn,0.2562,Recovery Churn
claude-code / claude-haiku-4-5-20251001@anthropic,claude-code,claude-haiku-4-5-20251001@anthropic,438,89,recovery_churn,0.2603,Recovery Churn
openhands / grok-4-0709@xai,openhands,grok-4-0709@xai,444,89,recovery_churn,0.4748,Recovery Churn
openhands / moonshotai/Kimi-K2-Instruct-0905@together_ai,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,875,89,recovery_churn,0.9523,Recovery Churn
mini-swe-agent / gemini-2.5-pro@gemini,mini-swe-agent,gemini-2.5-pro@gemini,444,89,recovery_churn,0.1611,Recovery Churn
mini-swe-agent / grok-code-fast-1@xai,mini-swe-agent,grok-code-fast-1@xai,445,89,recovery_churn,0.1333,Recovery Churn
openhands / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,878,89,recovery_churn,1.0,Recovery Churn
mini-swe-agent / grok-4-0709@xai,mini-swe-agent,grok-4-0709@xai,445,89,recovery_churn,0.0964,Recovery Churn
terminus-2 / accounts/fireworks/models/glm-4p6@fireworks_ai,terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,904,89,recovery_churn,0.4085,Recovery Churn
terminus-2 / gpt-5-mini@openai,terminus-2,gpt-5-mini@openai,438,89,recovery_churn,0.09,Recovery Churn
terminus-2 / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,929,89,recovery_churn,0.3022,Recovery Churn
terminus-2 / grok-4-0709@xai,terminus-2,grok-4-0709@xai,436,89,recovery_churn,0.0859,Recovery Churn
mini-swe-agent / gpt-5-mini@openai,mini-swe-agent,gpt-5-mini@openai,445,89,recovery_churn,0.022,Recovery Churn
gemini-cli / gemini-2.5-pro@gemini,gemini-cli,gemini-2.5-pro@gemini,437,89,recovery_churn,0.3548,Recovery Churn
terminus-2 / openai/gpt-oss-120b@together_ai,terminus-2,openai/gpt-oss-120b@together_ai,925,89,recovery_churn,0.3062,Recovery Churn
terminus-2 / gemini-2.5-flash@gemini,terminus-2,gemini-2.5-flash@gemini,439,89,recovery_churn,0.3894,Recovery Churn
mini-swe-agent / gemini-2.5-flash@gemini,mini-swe-agent,gemini-2.5-flash@gemini,445,89,recovery_churn,0.2957,Recovery Churn
openhands / gemini-2.5-flash@gemini,openhands,gemini-2.5-flash@gemini,445,89,recovery_churn,0.8161,Recovery Churn
openhands / gemini-2.5-pro@gemini,openhands,gemini-2.5-pro@gemini,445,89,recovery_churn,0.7849,Recovery Churn
gemini-cli / gemini-2.5-flash@gemini,gemini-cli,gemini-2.5-flash@gemini,439,89,recovery_churn,0.3005,Recovery Churn
mini-swe-agent / openai/gpt-oss-120b@together_ai,mini-swe-agent,openai/gpt-oss-120b@together_ai,887,89,recovery_churn,0.0476,Recovery Churn
terminus-2 / grok-code-fast-1@xai,terminus-2,grok-code-fast-1@xai,445,89,recovery_churn,0.1253,Recovery Churn
openhands / claude-haiku-4-5-20251001@anthropic,openhands,claude-haiku-4-5-20251001@anthropic,444,89,recovery_churn,0.4599,Recovery Churn
codex / gpt-5-nano@openai,codex,gpt-5-nano@openai,440,89,recovery_churn,0.0003,Recovery Churn
openhands / gpt-5-nano@openai,openhands,gpt-5-nano@openai,444,89,recovery_churn,0.5775,Recovery Churn
terminus-2 / gpt-5-nano@openai,terminus-2,gpt-5-nano@openai,436,89,recovery_churn,0.3652,Recovery Churn
mini-swe-agent / gpt-5-nano@openai,mini-swe-agent,gpt-5-nano@openai,445,89,recovery_churn,0.0122,Recovery Churn
mini-swe-agent / openai/gpt-oss-20b@together_ai,mini-swe-agent,openai/gpt-oss-20b@together_ai,888,89,recovery_churn,0.0107,Recovery Churn
terminus-2 / openai/gpt-oss-20b@together_ai,terminus-2,openai/gpt-oss-20b@together_ai,932,89,recovery_churn,0.1908,Recovery Churn
